[2024-10-20 10:03:58] [INFO    ] discord.client: logging in using static token
[2024-10-20 10:03:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-10-20 10:03:59] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-10-20 10:03:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1297324281591627837', 'username': 'Sup', 'avatar': None, 'discriminator': '3701', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-10-20 10:03:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-10-20 10:03:59] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-10-20 10:03:59] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1297324281591627837', 'name': 'Sup', 'icon': None, 'description': 'Support bot', 'type': None, 'bot': {'id': '1297324281591627837', 'username': 'Sup', 'avatar': None, 'discriminator': '3701', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '384c8566f6cd2f7c45fa7b1f81a92fcf0595e1e92e5b80e7ebbd8a66a59e7756', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '589922041616924692', 'username': 'carrneiro', 'avatar': '0d65606aa1895c333b143261b10e392f', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'carneiro', 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-10-20 10:03:59] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-10-20 10:03:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-l5pn",{"micros":0.0}]']}}
[2024-10-20 10:03:59] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-10-20 10:03:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-10-20 10:04:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Sup', 'mfa_enabled': False, 'id': '1297324281591627837', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3701', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '036776bda2fa9806b41e144090dd1062', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1297304929328828486'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['brazil', 'buenos-aires', 'santiago', 'southafrica', 'atlanta'], 'auth': {}, 'application': {'id': '1297324281591627837', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-d-l5pn",{"micros":133412,"calls":["id_created",{"micros":1355,"calls":[]},"session_lookup_time",{"micros":2250,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-1-48",{"micros":129485,"calls":["start_session",{"micros":125374,"calls":["discord-api-rpc-76466f7df7-v287q",{"micros":120762,"calls":["get_user",{"micros":6308},"get_guilds",{"micros":9909},"send_scheduled_deletion_message",{"micros":9},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":37}]}]},"starting_guild_connect",{"micros":63,"calls":[]},"presence_started",{"micros":3711,"calls":[]},"guilds_started",{"micros":98,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":211,"calls":[]},"connect_finished",{"micros":216,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2024-10-20 10:04:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-10-20 10:04:00] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 036776bda2fa9806b41e144090dd1062).
[2024-10-20 10:04:00] [DEBUG   ] discord.client: Dispatching event connect
[2024-10-20 10:04:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'system_channel_flags': 0, 'unavailable': False, 'premium_progress_bar_enabled': False, 'verification_level': 0, 'embedded_activities': [], 'afk_timeout': 300, 'max_stage_video_channel_users': 50, 'stickers': [], 'banner': None, 'default_message_notifications': 0, 'id': '1297304929328828486', 'roles': [{'version': 1729371997951, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1297304929328828486', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1729385458381, 'unicode_emoji': None, 'tags': {'bot_id': '508391840525975553'}, 'position': 4, 'permissions': '395942816984', 'name': 'Tickets', 'mentionable': False, 'managed': True, 'id': '1297305163534438414', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1729385458375, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '2108859006582783', 'name': 'Adminsitrador', 'mentionable': False, 'managed': False, 'id': '1297318899167137804', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1729385458370, 'unicode_emoji': None, 'tags': {'bot_id': '1297324281591627837'}, 'position': 2, 'permissions': '8', 'name': 'Sup', 'mentionable': False, 'managed': True, 'id': '1297329024351207489', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1729385458673, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '972924042604119', 'name': 'Moderador', 'mentionable': False, 'managed': False, 'id': '1297355096719491072', 'icon': None, 'hoist': False, 'flags': 0, 'color': 15277667}], 'premium_tier': 0, 'premium_subscription_count': 0, 'name': 'AcadArena_Hackaton', 'max_video_channel_users': 25, 'discovery_splash': None, 'home_header': None, 'nsfw_level': 0, 'clan': None, 'icon': '91b657997e686bf613f9d1c2f507c55c', 'presences': [{'user': {'id': '487007808290553866'}, 'status': 'online', 'client_status': {'web': 'online'}, 'broadcast': None, 'activities': []}, {'user': {'id': '508391840525975553'}, 'status': 'online', 'client_status': {}, 'broadcast': None, 'activities': []}, {'user': {'id': '1297324281591627837'}, 'status': 'online', 'client_status': {'web': 'online'}, 'broadcast': None, 'activities': []}], 'threads': [], 'incidents_data': None, 'soundboard_sounds': [], 'large': False, 'preferred_locale': 'en-US', 'owner_id': '487007808290553866', 'vanity_url_code': None, 'system_channel_id': '1297304929328828492', 'description': None, 'features': [], 'application_id': None, 'public_updates_channel_id': None, 'region': 'deprecated', 'activity_instances': [], 'member_count': 4, 'inventory_settings': None, 'emojis': [], 'max_members': 500000, 'application_command_counts': {}, 'latest_onboarding_question_id': None, 'safety_alerts_channel_id': None, 'rules_channel_id': None, 'stage_instances': [], 'lazy': True, 'hub_type': None, 'guild_scheduled_events': [], 'afk_channel_id': None, 'members': [{'user': {'username': 'vinicius6256', 'public_flags': 0, 'id': '487007808290553866', 'global_name': 'Vinicius Gustierrez Neves', 'display_name': 'Vinicius Gustierrez Neves', 'discriminator': '0', 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-10-19T21:06:37.933000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Tickets', 'public_flags': 589824, 'id': '508391840525975553', 'global_name': None, 'display_name': None, 'discriminator': '6981', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '33f07d5d37e948d9d726b3f25c7eb7e7'}, 'roles': ['1297305163534438414'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-10-19T21:07:33.829164+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'carrneiro', 'public_flags': 0, 'id': '589922041616924692', 'global_name': 'carneiro', 'display_name': 'carneiro', 'discriminator': '0', 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '0d65606aa1895c333b143261b10e392f'}, 'roles': ['1297355096719491072', '1297318899167137804'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-10-19T22:01:20.470000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Sup', 'public_flags': 0, 'id': '1297324281591627837', 'global_name': None, 'display_name': None, 'discriminator': '3701', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1297355096719491072', '1297329024351207489'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-10-19T22:42:22.705000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'voice_states': [], 'splash': None, 'nsfw': False, 'channels': [{'version': 1729371997952, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Informações', 'id': '1297304929328828487', 'flags': 0}, {'version': 1729406421213, 'type': 0, 'topic': '', 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1297304929328828487', 'nsfw': False, 'name': '🤗boas-vindas-e-regras', 'last_message_id': '1297453859047866378', 'id': '1297304929328828488', 'flags': 0}, {'version': 1729406397376, 'type': 0, 'topic': '', 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1297304929328828487', 'nsfw': False, 'name': '🚨anúncios', 'last_message_id': '1297403749953835049', 'id': '1297304929328828489', 'flags': 0}, {'version': 1729406375112, 'type': 0, 'topic': '', 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1297304929328828487', 'nsfw': False, 'name': '🫂suporte', 'last_message_id': '1297544156465598534', 'id': '1297304929328828490', 'flags': 0}, {'version': 1729371997964, 'type': 4, 'position': 4, 'permission_overwrites': [], 'name': 'Canais de texto', 'id': '1297304929328828491', 'flags': 0}, {'version': 1729371997966, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1297304929328828491', 'name': 'geral', 'last_message_id': '1297329025076695112', 'id': '1297304929328828492', 'flags': 0}, {'version': 1729371997969, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '1297304929328828491', 'name': 'planejamento-de-reuniões', 'last_message_id': None, 'id': '1297304929328828493', 'flags': 0}, {'version': 1729371997972, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'parent_id': '1297304929328828491', 'name': 'off-topic', 'last_message_id': '1297448492624777256', 'id': '1297304929328828494', 'flags': 0}, {'version': 1729371997975, 'type': 4, 'position': 8, 'permission_overwrites': [], 'name': 'Canais de voz', 'id': '1297304929328828495', 'flags': 0}, {'version': 1729371997982, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '1297304929328828495', 'name': 'Lounge', 'last_message_id': None, 'id': '1297304929614037033', 'flags': 0, 'bitrate': 64000}, {'version': 1729371997987, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'parent_id': '1297304929328828495', 'name': 'Sala de reuniões', 'last_message_id': None, 'id': '1297304929614037034', 'flags': 0, 'bitrate': 64000}, {'version': 1729373268520, 'type': 0, 'topic': '', 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '1297304929328828487', 'nsfw': False, 'name': '🆘ajuda', 'last_message_id': '1297432368675688509', 'id': '1297310108048556094', 'flags': 0}, {'version': 1729388592226, 'type': 4, 'position': 9, 'permission_overwrites': [{'type': 0, 'id': '1297304929328828486', 'deny': '1049600', 'allow': '0'}, {'type': 0, 'id': '1297355096719491072', 'deny': '0', 'allow': '1049600'}, {'type': 1, 'id': '1297324281591627837', 'deny': '0', 'allow': '1049600'}], 'parent_id': None, 'name': 'Moderacao', 'id': '1297374530800451584', 'flags': 0}, {'version': 1729389404294, 'type': 0, 'topic': '', 'rate_limit_per_user': 0, 'position': 12, 'permission_overwrites': [{'type': 0, 'id': '1297355096719491072', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1297304929328828486', 'deny': '1049600', 'allow': '0'}, {'type': 1, 'id': '1297324281591627837', 'deny': '0', 'allow': '1049600'}], 'parent_id': '1297374530800451584', 'nsfw': False, 'name': 'atendimentos-pendentes', 'last_message_id': '1297538612979564575', 'id': '1297374606201716746', 'flags': 0}, {'version': 1729422950160, 'type': 4, 'position': 10, 'permission_overwrites': [{'type': 0, 'id': '1297304929328828486', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '487007808290553866', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1297355096719491072', 'deny': '0', 'allow': '1024'}], 'parent_id': None, 'name': 'Atendimento de vinicius6256', 'id': '1297518638198427648', 'flags': 0}, {'version': 1729422950652, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 23, 'permission_overwrites': [{'type': 0, 'id': '1297304929328828486', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '487007808290553866', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1297355096719491072', 'deny': '0', 'allow': '1024'}], 'parent_id': '1297518638198427648', 'nsfw': False, 'name': 'atendimento', 'last_message_id': '1297518719186112524', 'id': '1297518640060567603', 'flags': 0}, {'version': 1729425942815, 'type': 4, 'position': 11, 'permission_overwrites': [{'type': 0, 'id': '1297304929328828486', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '487007808290553866', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1297355096719491072', 'deny': '0', 'allow': '1024'}], 'parent_id': None, 'name': 'Atendimento de vinicius6256', 'id': '1297531190265516093', 'flags': 0}, {'version': 1729425943182, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 24, 'permission_overwrites': [{'type': 0, 'id': '1297304929328828486', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '487007808290553866', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1297355096719491072', 'deny': '0', 'allow': '1024'}], 'parent_id': '1297531190265516093', 'nsfw': False, 'name': 'atendimento', 'last_message_id': '1297531247077232641', 'id': '1297531191561420942', 'flags': 0}], 'version': 1729425774076, 'mfa_level': 0, 'joined_at': '2024-10-19T22:42:22.705000+00:00', 'explicit_content_filter': 0}}
[2024-10-20 10:04:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-10-20 10:04:00] [DEBUG   ] discord.client: Dispatching event guild_available
[2024-10-20 10:04:02] [DEBUG   ] discord.client: Dispatching event ready
[2024-10-20 10:04:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2024-10-20T13:04:02.266000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1297355096719491072', '1297329024351207489'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-10-19T22:42:22.705000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1297545868412715129', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Clique no botão abaixo para iniciar a Central de Suporte', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 3, 'label': 'Iniciar Central de Suporte', 'id': 2, 'custom_id': 'b0f0a5d7337f8607e1e788795dc874a8'}]}], 'channel_id': '1297304929328828490', 'author': {'username': 'Sup', 'public_flags': 0, 'id': '1297324281591627837', 'global_name': None, 'discriminator': '3701', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1297304929328828486'}}
[2024-10-20 10:04:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-10-20 10:04:02] [DEBUG   ] discord.client: Dispatching event message
[2024-10-20 10:04:02] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1297304929328828490/messages with {"content":"Clique no bot\u00e3o abaixo para iniciar a Central de Suporte","components":[{"type":1,"components":[{"type":2,"style":3,"disabled":false,"label":"Iniciar Central de Suporte","custom_id":"b0f0a5d7337f8607e1e788795dc874a8"}]}],"tts":false} has returned 200
[2024-10-20 10:04:02] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
